indices,x,y,EC,uEC
364,457550.45,759541.56,4.37573019146718,14.5274570452674
346,474463.08,757720.22,1.35130782786723,31.5112833528807
283,472636.62,756163.87,1.26264922937551,32.2004330381687
499,474148.2,756180.66,1.31593167338813,33.4437923893004
31,470914.7,756623.45,0.0347482118494709,18.3192022500001
464,470911,755759.42,0.0293094791102836,18.7643884088478
178,470919.49,754635.32,0.0244801651983528,19.6829679767491
591,471797.32,755028.28,0.0325230368722465,20.3164658899176
289,456620.59,742952.85,0.02355558918527,0.0485758349794239
459,473990.76,745049.23,0.0380059833236919,2.40646027695473
12,456368.03,748184.34,0.0294449182279553,0.389568881275719
93,462522.39,740556.71,0.00578493701514369,6.48672835946504
119,458937.44,742357.4,0.0118302453074831,9.25499823796292
292,458624.1,746120.13,0.158917928437719,1.04794600205761
312,474101.97,744690.27,0.0173385655573735,2.55178378590534
44,474705.34,744594.6,0.0247166463079426,2.46107223281891
65,470679.32,738175.17,0.481905124388336,6.8043434692387
108,463341.33,747452.22,0.0535272712094581,10.4874885734568
122,457021.31,745098.79,0.133207208851788,1.16889492664609
20,472135.54,744645.97,0.00820748663201773,0.894976341152264
61,462676.63,738446.2,0.0654932079923208,9.57562467016463
69,461008.74,739890.74,0.365367671211673,12.503053942284
317,457060.34,748186.71,0.0491507251219196,0.348790638271605
551,458625.21,745715.01,0.170573763287023,1.17522178343621
102,460406.65,739017.37,0.336063523019814,11.1991349437243
127,462707.85,738711.91,0.058457401034568,10.3119004078189
363,475084.28,745345.92,0.0380074935601973,2.11512622037036
76,458605.19,745012.75,0.179888275208539,4.72358409506169
13,466468.38,743946.5,0.698059379944913,9.58670490555557
81,456138.41,748181.84,0.0260225406109497,0.279274890329219
126,457712.45,741604.22,0.00442721107470275,0.770301602983543
89,456157.3,744565.94,0.119989970329103,1.76744424691359
109,458108.28,745443.74,0.146006677279726,1.31577619351852
143,463655.37,748265.87,0.780756572437678,9.50477624300412
167,459432.04,745209.28,0.216743141666134,3.58456375390946
45,461764.94,744043.29,0.257304572623308,3.69947388497941
133,455947.49,745655.53,0.0239150799148322,0.0450261781893005
83,460047.66,742136.24,0.404828858233335,7.394847312963
590,456494.57,747624.77,0.0677301185299601,0.262492982613168
142,475967.29,743456.63,0.851799117840444,14.8626297238683
101,461444.64,745604.31,0.24022279641969,3.6353614222222
134,458624.47,745985.03,0.166684745310327,1.16363970874485
177,456233.73,747621.99,0.078224896900092,0.0249471518518519
175,455171.42,744181.81,0.00719418147570396,0
15,455837.16,743903.58,0.0145543812834621,0.0109969827160494
315,464745.71,745271.76,0.71634370768471,8.0824941983539
92,460344.55,740192.54,0.372682806587077,12.6117407176955
149,458423.07,743313.16,0.322479112145085,7.40806047417696
88,465682.1,746495.4,0.623943908735996,8.82434818292181
131,462308.25,747219.56,0.0679105575051525,10.1017009817901
121,458800.37,743851.07,0.0244231692961147,7.11817885936215
9,456218.15,744956.22,0.120098312848087,1.37932872695473
53,458117.83,742955.29,0.0238400295328236,4.96354544043208
37,474749.83,743796.87,0.0991501514429836,1.86806356368313
