Row,DemandModel_1,DemandModel_2,DemandModel_3,IsoValveClosure_1,IsoValveClosure_2,IsoValveClosure_3,ReaxCoeff_1,ReaxCoeff_2,ReaxCoeff_3,InjStart_1,InjStart_2,InjStart_3,InjDur_1,InjDur_2,InjDur_3,InjRate_1,InjRate_2,InjRate_3,InjRate_4
Levels,0,0.2,0.4,0,0.25,0.5,-5,-0.1,0,24,32,40,1,12,24,0.1,1,10,100
N6-1718,23.1593279287284,24.5177337116049,24.5299472626728,23.9608158214753,24.1535276992593,24.0926653822716,16.7036882244198,27.6824207130309,27.8208999655556,22.7573493358951,25.1275598943704,24.3220996727407,16.4193676062469,25.7642438721605,30.0233974245987,8.60281926730042,14.9337675730947,28.7273251221317,44.0120999081481
N6-188,129.594571354623,129.655191895778,129.776919025975,132.756712630531,130.831222286543,125.438747359303,85.6045649926173,150.317581472414,153.104535811346,128.980453035179,126.041821767716,134.004407473482,78.720770426358,148.022471910512,162.283439939506,7.79850360423868,65.3961407409464,187.753301660469,257.754297029515
N6-3323,248.263338945722,248.366974133568,248.445115084025,248.570673932716,248.409158871259,248.09559535934,179.295188728981,281.424120653815,284.356118780518,249.873934311765,245.25593688792,249.94555696363,172.823536038395,276.535772283235,295.716119841685,0,32.9295745503868,398.696110106288,561.808219561078
All,32.0725985253193,32.0077148482588,32.0470357856636,32.3841098299047,32.0918371616749,31.6514021676625,20.2997260718665,37.5330544249598,38.2945686624096,31.6483550090153,31.2433644902143,33.2356296600126,17.461136107472,37.1331681924713,41.5330448592932,4.60578440514264,16.2092703033007,41.9494680707413,65.4052760997976
