Row,DemandModel_1,DemandModel_2,DemandModel_3,IsoValveClosure_1,IsoValveClosure_2,IsoValveClosure_3,ReaxCoeff_1,ReaxCoeff_2,ReaxCoeff_3,InjStart_1,InjStart_2,InjStart_3,InjDur_1,InjDur_2,InjDur_3,InjRate_1,InjRate_2,InjRate_3,InjRate_4
Levels,0,0.2,0.4,0,0.25,0.5,-5,-0.1,0,24,32,40,1,12,24,0.1,1,10,100
KL-1427,37.7454817367345,38.1161563423025,38.1132496972963,38.3183114167531,38.2382737363828,37.4183026231975,26.2145231077901,43.6928470524012,44.0675176161419,36.9621170667037,38.403086322642,38.6096843869876,34.7331329733642,39.4257730650371,39.815981737932,24.7575157127654,37.8309147451934,43.7137759861317,45.6643105910205
KL-326,29.5263498030617,29.3534876898827,37.6586435453704,3.93415809630864,35.6878789002654,56.9164440417407,16.4872381810494,39.7437395457531,40.3075033115123,31.6057275121481,32.4506615840617,32.4820919421049,25.2375628084012,34.2525764247098,37.0483418052037,14.2942600985021,31.0178235031275,39.5874914509711,43.8183996651522
KL-1,180.914891832524,181.095548707654,181.264727136877,180.80910660079,181.007255511901,181.458805564364,136.355837189463,202.540475666006,204.378854821586,177.87347519366,182.580543204185,182.82114927921,154.930160024432,191.390565634265,196.954442018358,61.9601052035556,193.800362666535,228.161475304749,240.444947061234
All,41.1762155295167,41.38086584314,41.5993779850092,41.5768264267077,41.4022805983931,41.177352332567,23.9936528851504,49.7153089193408,50.4474975531764,40.4476910823092,41.762106064405,41.9466622109527,34.9855257467025,43.9240717806458,45.2468618303187,18.4275626899428,39.2923938379734,50.9059995857112,56.9159896965947
