Row,DemandModel_1,DemandModel_2,DemandModel_3,IsoValveClosure_1,IsoValveClosure_2,IsoValveClosure_3,ReaxCoeff_1,ReaxCoeff_2,ReaxCoeff_3,InjStart_1,InjStart_2,InjStart_3,InjDur_1,InjDur_2,InjDur_3,InjRate_1,InjRate_2,InjRate_3,InjRate_4
Levels,0,0.2,0.4,0,0.25,0.5,-5,-0.1,0,24,32,40,1,12,24,0.1,1,10,100
N6-1718,34.1198163052469,42.2562989280864,43.8309312475309,18.1316914200617,64.0370834919753,38.0382715688271,28.1556923111111,46.901655125,45.149699044753,29.9831991867284,42.3254300058642,47.8984172882716,24.9185915358025,41.9800897993827,53.3083651456791,9.93230972057613,19.5236576930041,47.2650849160494,83.555009644856
N6-188,85.3311386018519,91.9970726228394,94.3945784929012,15.2790771524691,74.032792958642,182.410919606482,69.7917311626543,100.758459520062,101.172599034877,87.9344413212963,91.6473854203704,92.1409629759259,74.1569261179012,97.5862617598765,99.9796018398148,10.0326415901235,57.7295465864197,133.356186584362,161.178678195885
N6-3323,17.4324128410494,24.8538293796296,31.0329813820988,14.0399502814815,26.4583528145062,32.8209205067901,25.0041785447531,23.7507293367284,24.5643157212963,22.2651189827161,23.1845120172839,27.8695926027778,29.9628918567901,22.710402487037,20.6459292589506,0,22.6962468193416,45.8149499111111,29.247768073251
All,10.6179681803106,13.8091029827959,15.7236886142321,6.11400270877073,14.6383618333603,19.3983952352078,9.76648559174183,15.2014224244282,15.1828517611689,12.3764160174623,13.5249902786702,14.2493534812064,11.3532827853848,14.3522501628612,14.4452268290926,3.9585298741862,9.16174657088163,17.8233578579394,22.5907120667779
